Master Sku,Product Name,Featured Y/N,Brand,Category(s),Main Ingredient(s),Goal(s),Supplier,Product Banner,Active Y/N
1001,Orange Oximega Fish Oil,N,CLS,HEA-C,VEG-I,IH-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Controlled-Labs_Orange_Oximega_FishOil_Banner.jpg,Y
1002,White Flood Reborn,N,CLS,PRE-C,CIY-I,IW-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Controlled-Labs_WhiteFloodReborn_Banner.jpg,Y
1003,White Pump,N,CLS,PRE-C,BETA-I,IS-G| IW-G| IE-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Controlled-Labs_WhitePump_Banner.jpg,Y
1004,White Blood 2,N,CLS,PRE-C,GLYC-I,IS-G| IW-G| IE-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Controlled-Labs_WhiteBlood2_Banner.jpg,Y
1005,STIMino,N,CLS,PRE-C,TAU-I| LLE-I,IE-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Controlled-Labs_STIMino_Banner.jpg,Y
1006,Red Acid Reborn,N,CLS,FAT-C,GRE-I| SYZ-I,LF-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Controlled-Labs_RedAcidReborn_Banner.jpg,Y
1007,Purple Wraath,N,CLS,POS-C,AMI-I,RE-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Controlled-Labs_PurpleWraath_Banner.jpg,Y
1008,Orange TRIad,N,CLS,HEA-C,GLUC-I| MSM| OME-I,JS-G| IH-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Controlled-Labs_OrangeTriad_Banner.jpg,Y
1009,Green Bulge,N,CLS,PRE-C,CRE-I,IS-G| IW-G| IE-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Controlled-Labs_GreenBulge_Banner.jpg,Y
1010,Green MAGnitude,N,CLS,PRE-C,CRE-I,IW-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Controlled-Labs_Green_Magnitude_Banner.jpg,Y
1011,Gold Feast,N,CLS,ALL-C,PRO-I| WHO-I,LF-G| GM-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/CL-Gold-Feast-Banner.jpg,Y
1012,GlycerGrow ,N,CLS,PRE-C,GLYC-I,BM-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/CL-Glycer-Grow-2-Banner.jpg,Y
1013,CREAmore,N,CLS,CRE-C,CRE-I| CREM-I,IW-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/CL-CreaMore-Banner.jpg,Y
1014,CLAmore,N,CLS,FAT-C,CON-I,LF-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/CL-CLA-More-Banner.jpg,Y
1015,Blue UP,N,CLS,TES-C,TRI-I| AVE-I,BM-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/CL-Blue-UP-Banner.jpg,Y
1016,Blue GrowtH,N,CLS,AMI-C,SAF-I| MUC-I,BM-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/CL-Blue-Growth-Banner.jpg,Y
1017,NRGFuel BCAA,N,NRG,BCA-C| AMI-C,AMI-I| BCA-I,BM-G,NRG,https://onlymuscle.co.uk/wp-content/uploads/2015/09/NRG-BCAA-banner.jpg,Y
1018,Buzzin,N,NRG,PRE-C,MAL-I| CAR-I,IS-G| IW-G,NRG,https://onlymuscle.co.uk/wp-content/uploads/2015/09/NRG-BUZZIN-banner.jpg,Y
1019,O.M.G! Breakfast,N,NRG,MEA-C| FAT-C,PRO-I| CAS-I,BM-G| LF-G,NRG,https://onlymuscle.co.uk/wp-content/uploads/2015/09/NRG-OMG-Breakfast-banner.jpg,Y
1020,NRGFuel CLA+,N,NRG,FAT-C,CON-I,LF-G,NRG,https://onlymuscle.co.uk/wp-content/uploads/2015/09/NRG-CLA-banner.jpg,Y
1021,NRGFuel Casein Protein,N,NRG,PRO-C| PRO-C,PRO-I| CAS-I,BM-G,NRG,https://onlymuscle.co.uk/wp-content/uploads/2015/09/NRG-Casein-protein-banner.jpg,Y
1022,NRGFuel Diet Power,N,NRG,MEA-C,PAL-I,BM-G| GM-G,NRG,https://onlymuscle.co.uk/wp-content/uploads/2015/09/NRG-Diet-Power-banner.jpg,Y
1023,NRGFuel Creatine Monohydrate,N,NRG,CRE-C,CRE-I| CREM-I,IS-G| IW-G,NRG,https://onlymuscle.co.uk/wp-content/uploads/2015/09/NRG-creatine-monohydrate-banner.jpg,Y
1024,O.M.G! Protein Flapjacks,N,NRG,PRB-C,PRO-I| WHEY-I,BM-G,NRG,https://onlymuscle.co.uk/wp-content/uploads/2015/09/OMG-Protein-Flapjacks-banner.jpg,Y
1025,NRGfuel Anabolic Whey,N,NRG,PRO-C| ,WHEY-I,BM-G,NRG,https://onlymuscle.co.uk/wp-content/uploads/2015/09/NRG-Anabolic-Whey-banner.jpg,Y
1026,Nutrisport Protein + Carbs,N,NUTS,POS-C| ALL-C| MEA-C,WHEY-I| MAL-I| CAR-I,BM-G| GM-G| RE-G,TROP,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Nutrisport_ProteinCarbs_Banner.jpg,Y
1027,Nutrisport Cut + Burn,N,NUTS,FAT-C,BET-I,LF-G,TROP,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Nutrisport_CutBurn_Banner.jpg,Y
1028,Thermofuse,N,MUSW,FAT-C,BET-I,LF-G| IE-G,PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Muscle-Warfare-Thermofuse1.jpg,Y
1029,The Ripper,N,COB  ,FAT-C,BET-I,LF-G,TROP|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Cobra-Labs-The-Ripper-Banner.jpg,Y
1030,Cobra Labs The Curse,N,COB  ,PRE-C,BET-I,IW-G| IE-G,TROP|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Cobra-Labs-the-curse-Banner.jpg,Y
1031,AD BullDoze,N,AD,HEA-C,VEL-I,IH-G,BT,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Bulldoze-Banner.jpg,Y
1032,AD Grazed,N,AD,AMI-C,AMI-I,BM-G,BT,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Grazed-banner.jpg,Y
1033,AD Bullk,N,AD,TES-C,BUL-I,BM-G,BT,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Bullk-Banner.jpg,Y
1034,AD LiverMilk,N,AD,HEA-C,MIL-I,IH-G,BT,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Liver-Milk-banner.jpg,Y
1035,AD InvinciBull,N,AD,HEA-C,GLUC-I| MSM,JS-G,BT,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Invincibull-Banner.jpg,Y
1036,AminOD,N,PURL,BCA-C| AMI-C,AMI-I| BCA-I,BM-G,PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Purus-Labs_AminOD_Banner.jpg,Y
1037,NOXygen,N,PURL,PRE-C,GLYC-I,IW-G| IE-G,PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Purus-Labs_NOXygen_Banner.jpg,Y
1038,D-POL,N,PURL,TES-C,DAS-I,BM-G,PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Purus-Labs_DPOL_Banner.jpg,Y
1039,Joint Devil,N,VYO,HEA-C,GLUC-I,JS-G,VYO,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Vyomax_JointDevil_Banner.jpg,Y
1040,Vyomax Man Up,N,VYO,TES-C,5ME-I,BM-G,VYO,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Vyomax_ManUp_Banner.jpg,Y
1041,Vyomax Maxi Carbs,N,VYO,MAS-C,MAL-I| CAR-I,GM-G,VYO,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Vyomax_MaxiCarbs_Banner.jpg,Y
1042,Vyomax Creatine Monohydrate,N,VYO,CRE-C,CRE-I| CREM-I,IW-G,VYO,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Vyomax_CreatineMonohydrate_Banner.jpg,Y
1043,Vyomax High protein oat Cookies,N,VYO,PRB-C,CAS-I,BM-G,VYO,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Vyomax_OatCookies_Banner.jpg,Y
1044,Vyomax CLA,N,VYO,FAT-C,CON-I,LF-G,VYO,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Vyomax_CLA_Banner.jpg,Y
1045,Vyomax Casein,N,VYO,PRO-C| PRO-C,PRO-I| CAS-I,BM-G,VYO,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Vyomax_Casein_Banner.jpg,Y
1046,Vyomax BCAA Plus,N,VYO,BCA-C,BCA-I,IE-G,VYO,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Vyomax_BCAA_Plus_Banner.jpg,Y
1047,Vyomax All in One,N,VYO,ALL-C,AMI-I| WHEY-I| CRE-I| CREM-I| CAR-I| GLUT-I,BM-G| IW-G,VYO,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Vyomax_AllInOne_Banner.jpg,Y
1048,Nutrisport Whey Protein Isolate,N,NUTS,PRO-C| ,PRO-I| ISOWP-I,BM-G,TROP,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Nutrisport_WheyProteinIsolate_Banner.jpg,Y
1049,Nutrisport Creatine Tablets,N,NUTS,CRE-C,CREM-I,IW-G,TROP,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Nutrisport_CreatineTablets_Banner.jpg,Y
1050,Nutrisport Creatine,N,NUTS,CRE-C,CRE-I| CREM-I,IW-G,TROP,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Nutrisport_creatine_Banner.jpg,Y
1051,Nutrisport Creatine Bombs,N,NUTS,CRE-C,CREM-I| DEX-I,IW-G,TROP,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Nutrisport_creatineBombs_Banner.jpg,Y
1052,ATP Muscle Fuel,N,NUTS,POS-C| SPO-C,MAL-I| CAR-I,RE-G,TROP,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Nutrisport_ATP_MuscleFuel_Banner.jpg,N
1053,Nutrisport Amino Acids,N,NUTS,AMI-C,AMI-I,BM-G| RE-G,TROP,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Nutrisport_AminoAcids_Banner.jpg,N
1054,Amino Bombs,N,NUTS,AMI-C,AMI-I,BM-G| RE-G,TROP,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Nutrisport_AminoBombs_Banner.jpg,N
1055,90+ Protein,N,NUTS,PRO-C,PRO-I| CAS-I| WHEY-I| Rice PRO-I| Soy PRO-I,BM-G,TROP,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Nutrisport_90Protein_Banner.jpg,N
1056,90+ Vegan Protein,N,NUTS,PRO-C,Pea PRO-I| Rice PRO-I| Soy PRO-I,BM-G,TROP,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Nutrisport_90VeganProtein_Banner.jpg,N
1057,Lean Force,N,GARN,FAT-C,GUA-I,LF-G,TROP,,N
1058,Extreme CLA,N,EXTR,FAT-C,CON-I,LF-G,EN,,N
1059,Extreme Carbs  ,N,EXTR,MAS-C,,,EN,,N
1060,Build and Recover,N,EXTR,POS-C,MAL-I| FRU-I,IS-G| RE-G,EN,,N
1061,Extreme Aminos,N,EXTR,AMI-C,,,EN,,N
1062,Mass Attack Juggernaut,N,BOD,MAS-C,WAX-I| CAR-I,GM-G,TRON,,N
1063,Protein Splash Iso Whey,N,BOD,PRO-C| ,WHEY-I| ISOWP-I,BM-G,TRON,,N
1064,Diet Express Whey,N,BOD,MEA-C,WHEY-I,BM-G,TRON,,N
1065,Express Cookies,N,BOD,PRB-C,CAS-I,BM-G| RE-G,TRON,,N
1066,GARN Creatine,N,GARN,CRE-C,CRE-I,IW-G,TROP,,N
1067,BodiPure Creatine,N,BOD,CRE-C,CRE-I| CREM-I,IW-G,TRON,,N
1068,Diet Pro Protein,N,SCMX,PRO-C,PRO-I,LF-G,TROP,,N
1069,Diet Pro Meal,N,SCMX,MEA-C,PRO-I,LF-G,TROP,,N
1070,Omni Mx Leancore,N,SCMX,PRO-C,BCA-I| WHEY-I| CRE-I| MAL-I,BM-G| IH-G,TROP,,N
1071,Omni Mx Hardcore,N,SCMX,PRO-C,WHEY-I,BM-G,TROP,,N
1072,High protein bars,N,VYO,PRB-C,PRO-I| CAS-I,BM-G,VYO,,N
1073,High Protein Flapjacks,N,VYO,PRB-C,PRO-I| ISOWP-I,BM-G,VYO,,N
1074,Deluxe Protein,N,VYO,PRO-C,PRO-I| WHEY-I,BM-G,VYO,,N
1075,Complex Carbs,N,GARN,MAS-C,MAL-I,IS-G| GM-G,TROP,,N
1076,Enrage,N,GARN,PRE-C,CRE-I| TAU-I| MAL-I| GUA-I,IW-G| IE-G,TROP,,N
1077,Anabolic Mass 2,N,GARN,MAS-C,WHEY-I| MAL-I| WAX-I,GM-G,TROP,,N
1078,As One40,N,GARN,ALL-C,PRO-I| AMI-I| BCA-I| BET-I| WHEY-I| CRE-I| TAU-I,BM-G| IW-G| IH-G| GM-G| RE-G,TROP,,N
1079,Weight Gain,N,NUTS,MAS-C,PRO-I,GM-G,TROP,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Nutrisport_WeightGain_Banner.jpg,N
1080,Extreme Pro 6,N,EXTR,PRO-C,PRO-I,BM-G,EN,,N
1081,BCAA Professional,N,BOD,BCA-C,AMI-I| BCA-I,IE-G,TRON,,N
1082,Express Whey,N,BOD,Protein ,Protein|Whey Protein ,Build Muscle,TRON,,N
1083,Express Whey Anabolic,N,BOD,Protein ,Protein|Whey Protein ,Build Muscle,TRON,,N
1084,Express Protein XTR-4,N,BOD,Protein ,Protein,Build Muscle,TRON,,N
1085,TRON Essentials Just Protein,N,BOD,Protein ,Protein,Build Muscle,TRON,,N
1086,#XLR8 Extreme Energy Protein Flapjack,N,BOD,Protein Bars,Protein,Build Muscle,TRON,,N
1087,Express Cookies ,N,BOD,Protein Bars,Protein,Build Muscle,TRON,,N
1088,Casein Xtra,N,BOD,Protein,Protein|Micellar Casein Protein,Build Muscle,TRON,,N
1089,Profusion Reloaded,N,BOD,Protein ,Protein|Whey Protein ,Build Muscle,TRON,,N
1090,Mass Attack EVO,N,BOD,Mass gain,Protein Matrix|Carb Complex,Gain Mass,TRON,,N
1091,Mass Attack Heavyweight,N,BOD,Mass Gain ,,Gain Mass,TRON,,N
1092,BodiPure Glutamine,N,BOD,Post workout,Glutamine ,Recovery,TRON,,N
1093,Red Mist V2,N,BOD,Pre Workout,L-Taurine,Improve Workout,TRON,,N
1094,ZincMagnesium Complex,N,BOD,Build Muscle ,ZMA,Build muscle|Improve Workout,TRON,,N
1095,TestoFenXT,N,BOD,Testosterone Boosters,Fenugreek,Build muscle,TRON,,N
1096,D Aspartic Acid,N,BOD,,,,TRON,,N
1097,Express Carbs,N,BOD,,,,TRON,,N
1098,Intracell,N,BOD,,,,TRON,,N
1099,Splash RecoverEX,N,BOD,,,,TRON,,N
1100,Lypodryl Max Strength,N,BOD,,,,TRON,,N
1101,Bodipure Omega 3,N,BOD,,,,TRON,,N
1102,Bodi Armour,N,BOD,,,,TRON,,N
1103,Extreme BCA-311,N,EXTR,,,,EN,,N
1104,Extreme Creatine,N,EXTR,,,,EN,,N
1105,Extreme Mass,N,EXTR,Mass Gain ,,Gain Mass,EN,,N
1106,Extreme Whey,N,EXTR,Protein ,Protein|Whey Protein ,Build Muscle,EN,,N
1107,Glutamine Complex,N,EXTR,Post workout,Glutamine ,Recovery,EN,,N
1108,Krevolution X,N,EXTR,,Kre-Alkalyn,,EN,,N
1109,Pure L-Glutamine,N,EXTR,Post workout,Glutamine ,Recovery,EN,,N
1110,Reload,N,EXTR,,,,EN,,N
1111,Trib-Z,N,EXTR,,,,EN,,N
1112,50 calibre,N,GREN,Pre Workout,Beta-Alanine,Improve Workout,PROL|TROP,,N
1113,Calibre Preloaded,N,GREN,Pre Workout,Beta-Alanine,Improve Workout,PROL|TROP,,N
1114,AT4,N,GREN,,D-Aspartic Acid,Build Muscle,PROL|TROP,,N
1115,Black Ops,N,GREN,,,,PROL|TROP,,N
1116,Carb Killa Bar,N,GREN,Protein Bars,,Build Muscle,PROL|TROP,,N
1117,Defend,N,GREN,,,,PROL|TROP,,N
1118,Engage,N,GREN,,,,PROL|TROP,,N
1119,Hydra 6,N,GREN,,,,PROL|TROP,,N
1120,Killa Ketones,N,GREN,,,,PROL|TROP,,N
1121,Ration Pack,N,GREN,,,,PROL|TROP,,N
1122,Reload Flapjacks,N,GREN,Protein Bars,,Build Muscle,PROL|TROP,,N
1123,Thermo Detonator,N,GREN,,,,PROL|TROP,,N
1124,Muscle Mousse ,N,MUSM,Protein ,Protein,Build Muscle,PROL|TROP,,N
1125,Advanced Mass,N,PHD,Mass Gain ,,Gain Mass,PHDN,,N
1126,Advanced Mass Flapjack,N,PHD,Protein Bars,Protein|Whey Protein,Build Muscle|Gain Mass,PHDN,,N
1127,Amino Tablets,N,PHD,,,,PHDN,,N
1128,BCAA Intra+,N,PHD,,,,PHDN,,N
1129,BCAAs,N,PHD,,,,PHDN,,N
1130,Battery +/3,N,PHD,,,,PHDN,,N
1131,Beta Alanine Histidine,N,PHD,,,,PHDN,,N
1132,CLA,N,PHD,,,,PHDN,,N
1133,Carnitine Tartrate,N,PHD,,,,PHDN,,N
1134,Casein Peptide+,N,PHD,Protein,Protein|Micellar Casein Protein,Build Muscle,PHDN,,N
1135,Creapure Capsules,N,PHD,,,,PHDN,,N
1136,Diet Cookie,N,PHD,Protein Bars,Protein|Whey Protein ,Build Muscle,PHDN,,N
1137,Diet Whey,N,PHD,Protein ,Protein|Whey Protein ,Build Muscle|Lose Fat,PHDN,,N
1138,Diet Whey Bar,N,PHD,Protein Bars,Protein|Whey Protein ,Build Muscle,PHDN,,N
1139,Greens PH-7,N,PHD,,,,PHDN,,N
1140,Growth Factor 50 Brownies,N,PHD,Mass Gain|Protein Bars,,Gain Mass,PHDN,,N
1141,Growth Factor Mass,N,PHD,Mass Gain ,,Gain Mass,PHDN,,N
1142,L'Glutamine,N,PHD,Post workout,Glutamine ,Recovery,PHDN,,N
1143,L'leucine,N,PHD,,,,PHDN,,N
1144,Lean Degree Max Strength,N,PHD,,,,PHDN,,N
1145,Lean Degree Stim Free,N,PHD,,,,PHDN,,N
1146,Methoxy-7 test,N,PHD,Testosterone Boosters,Acetyl L-Carnitine,Build muscle,PHDN,,N
1147,Micronised creatine,N,PHD,,,,PHDN,,N
1148,Micronised Glutamine,N,PHD,Post workout,Glutamine ,Recovery,PHDN,,N
1149,Omega-3,N,PHD,,,,PHDN,,N
1150,Pharma Blend 6HR,N,PHD,,,,PHDN,,N
1151,Pharma Gain,N,PHD,,,,PHDN,,N
1152,Pharma Pure,N,PHD,,,,PHDN,,N
1153,Pharma Whey HT+,N,PHD,Protein ,Protein|Whey Protein ,Build Muscle,PHDN,,N
1154,Pharma Whey HT+ Bars,N,PHD,Protein Bars,Protein|Whey Protein ,Build Muscle,PHDN,,N
1155,Pro Oat Cookies,N,PHD,,,,PHDN,,N
1156,Protein Flapjacks +,N,PHD,Protein Bars,Protein|Whey Protein ,Build Muscle,PHDN,,N
1157,Re-Inforce,N,PHD,,,,PHDN,,N
1158,Recovery 2:1,N,PHD,,,,PHDN,,N
1159,Synergy Bars ISO-7,N,PHD,Protein Bars,Protein|Whey Protein ,Build Muscle,PHDN,,N
1160,Synergy ISO-7,N,PHD,,,,PHDN,,N
1161,VMX2,N,PHD,,,,PHDN,,N
1162,Waxy Vol,N,PHD,,,,PHDN,,N
1163,ZMA,N,PHD,Build Muscle ,ZMA,Build muscle|Improve Workout,PHDN,,N
1164,Body Sculpt lean degree,N,PHDW,,,,BT|TROP,,N
1165,CLA Woman,N,PHDW,,,,BT|TROP,,N
1166,Complete,N,PHDW,,,,BT|TROP,,N
1167,Greens and berries,N,PHDW,,,,BT|TROP,,N
1168,Meal Replacment,N,PHDW,,,,BT|TROP,,N
1169,Meal Replacment bars,N,PHDW,Protein Bars,Protein|Whey Protein ,Build Muscle,BT|TROP,,N
1170,Support & Recovery,N,PHDW,,,,BT|TROP,,N
1171,100% Whey,N,REFL,Protein ,Protein|Whey Protein ,Build Muscle,REF,,N
1172,Acetyl-L-Carnitine,N,REFL,,,,REF,,N
1173,Alpha Lipoic Acid,N,REFL,,,,REF,,N
1174,BCAAs,N,REFL,,,,REF,,N
1175,CLA,N,REFL,,,,REF,,N
1176,Coenzyme Q10,N,REFL,,,,REF,,N
1177,Colostrum Capsules,N,REFL,,,,REF,,N
1178,Cordyceps,N,REFL,,,,REF,,N
1179,Creapure Capsules,N,REFL,,,,REF,,N
1180,Creatine Monohydrate,N,REFL,,,,REF,,N
1181,Diet MRP,N,REFL,Meal Replacement,Protein Matrix,Lose Fat|Build Muscle,REF,,N
1182,Diet Protein,N,REFL,Protein ,Protein|Whey Protein ,Lose Fat|Build Muscle,REF,,N
1183,Ginkgo Biloba Extract,N,REFL,Protein Bars,Protein|Whey Protein ,Build Muscle,REF,,N
1184,Glucosamine Chondroitin,N,REFL,,,,REF,,N
1185,Glucosamine Sulphate,N,REFL,,,,REF,,N
1186,Green Tea Extract,N,REFL,,,,REF,,N
1187,Growth Matrix,N,REFL,Mass Gain ,,Gain Mass,REF,,N
1188,Instant Mass Heavyweight,N,REFL,Mass Gain ,,Gain Mass,REF,,N
1189,Instant Mass Pro,N,REFL,Mass Gain ,,Gain Mass,REF,,N
1190,Instant Whey Duo,N,REFL,Protein ,Protein|Whey Protein ,Build Muscle,REF,,N
1191,Instant Whey Pro,N,REFL,Protein ,Protein|Whey Protein ,Build Muscle,REF,,N
1192,Intra Fusion,N,REFL,,,,REF,,N
1193,Krill Oil,N,REFL,,,,REF,,N
1194,L-Carnitine,N,REFL,,,,REF,,N
1195,L-Glutamine,N,REFL,Post workout,Glutamine ,Recovery,REF,,N
1196,Reflex Micellar Casein,N,REFL,Protein,Protein|Micellar Casein Protein,Build Muscle,REF,,N
1197,Micro Whey,N,REFL,Protein ,Protein|Whey Protein ,Build Muscle,REF,,N
1198,Muscle Bomb,N,REFL,,,,REF,,N
1199,Muscle Bomb Non Caffeine,N,REFL,,,,REF,,N
1200,Natural Whey,N,REFL,Protein ,Protein|Whey Protein ,Build Muscle,REF,,N
1201,Nexgen,N,REFL,,,,REF,,N
1202,Nexgen Pro,N,REFL,,,,REF,,N
1203,Omega 3,N,REFL,,,,REF,,N
1204,One Stop,N,REFL,,,,REF,,N
1205,Peptide Fusion,N,REFL,,,,REF,,N
1206,R Bar Flapjack,N,REFL,Protein ,Protein|Whey Protein ,Build Muscle,REF,,N
1207,R-Bar,N,REFL,Protein ,Protein|Whey Protein ,Build Muscle,REF,,N
1208,Sports Antioxidants,N,REFL,,,,REF,,N
1209,Testo Fusion,N,REFL,Testosterone Boosters,Fenugreek,Build muscle,REF,,N
1210,The Edge,N,REFL,,,,REF,,N
1211,Thermo Fusion,N,REFL,,,,REF,,N
1212,Vegan Protein,N,REFL,Protein ,Protein|Plant Protein,Build Muscle,REF,,N
1213,Vitamin D3,N,REFL,,,,REF,,N
1214,Zinc Matrix,N,REFL,Build Muscle ,Zinc,Build muscle|Improve Workout,REF,,N
1215,One Stop Xtreme,N,REFL,,,,REF,,N
1216,BCAA 8-1-1 Extreme Hybrid Powder,N,VYO,,,,VYO,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Vyomax_BCAA_811_Banner.jpg,N
1217,Colossus Hardcore,N,VYO,,,,VYO,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Vyomax_Colossus_Hardcore_Banner.jpg,N
1218,Hydrolysed Whey Protein,N,VYO,Protein ,Protein|Whey Protein ,Build Muscle,VYO,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Vyomax_Hydrolysed_WheyProtein_Banner.jpg,N
1219,Kre-Alkalyn,N,VYO,,,,VYO,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Vyomax_KreAlkalyn_Banner.jpg,N
1220,Maxi Burn Fat Burner,N,VYO,,,,VYO,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Vyomax_MaxiBurnFatBurner_Banner.jpg,N
1222,"Milk, Egg & Whey Protein",N,VYO,Protein ,Protein|Protein Matrix,Build Muscle,VYO,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Vyomax_MilkEggWhey_Banner.jpg,N
1223,Premium Protein,N,VYO,Protein ,Protein|Whey Protein ,Build Muscle,VYO,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Vyomax_PremiumProtein_Banner.jpg,N
